episode,cpu_time,seed,total_reward,timesteps,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_16_reward,agent_16_start_x,agent_16_start_y,agent_16_goal_x,agent_16_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y
37,10.359375,42,-0.5,100,0.5,1,20,7,0,0.5,0,4,6,16,0.5,7,11,6,24,0.5,0,15,19,25,0.5,5,0,1,23,-1.0,0,23,15,0,-1.0,6,8,3,29,0.5,19,21,6,2,-1.0,10,1,19,6,0.5,6,11,7,13,0.5,7,1,10,14,0.5,1,16,6,7,0.5,0,18,9,1,-1.0,6,6,19,4,-1.0,19,10,19,2,-1.0,11,1,19,5,0.5,1,0,19,20
38,10.421875,42,2.5,100,0.5,5,1,0,0,0.5,1,25,7,7,0.5,8,15,3,1,-1.0,11,28,16,0,-1.0,6,1,19,18,0.5,1,19,1,27,0.5,0,5,11,1,-1.0,1,5,10,20,0.5,18,14,18,28,0.5,10,21,16,14,-1.0,1,10,19,28,0.5,4,29,6,28,0.5,10,27,10,19,0.5,19,26,0,13,0.5,19,9,19,1,0.5,6,7,12,15,0.5,14,22,10,14
39,10.453125,42,4.0,100,0.5,17,0,6,27,0.5,6,25,19,26,0.5,12,14,1,1,0.5,1,9,0,11,0.5,11,28,7,2,-1.0,16,1,14,22,0.5,10,14,1,26,0.5,15,29,8,0,0.5,0,23,0,15,0.5,7,5,4,1,0.5,19,19,2,0,0.5,6,1,10,17,0.5,1,12,0,9,0.5,19,7,0,8,0.5,1,28,19,15,-1.0,7,15,5,29,-1.0,2,1,19,20
40,10.21875,42,-2.0,100,0.5,0,11,1,4,-1.0,19,24,6,26,0.5,18,14,0,0,0.5,19,6,2,29,0.5,5,0,10,0,0.5,6,16,18,28,0.5,13,1,0,6,0.5,6,18,17,29,-1.0,1,17,6,21,-1.0,15,29,1,7,0.5,7,10,7,4,0.5,7,0,6,4,-1.0,0,13,7,14,0.5,0,25,4,0,-1.0,0,10,6,23,-1.0,1,22,8,15,-1.0,11,1,6,22
41,10.078125,42,-6.5,100,-1.0,1,22,13,22,0.5,1,26,0,7,0.5,6,1,1,13,0.5,12,28,19,11,-1.0,19,14,1,5,-1.0,19,10,0,10,0.5,6,4,0,20,-1.0,0,11,13,15,0.5,6,3,17,0,0.5,7,7,1,1,-1.0,7,8,0,25,-1.0,14,28,0,2,-1.0,18,28,0,4,-1.0,10,22,1,4,-1.0,1,29,7,3,0.5,7,11,10,28,-1.0,1,25,10,24
42,10.515625,42,5.5,100,-1.0,1,25,19,28,0.5,9,0,6,10,0.5,0,20,4,0,0.5,7,11,10,24,0.5,10,27,14,15,0.5,10,21,19,11,-1.0,0,1,19,9,0.5,1,7,1,4,0.5,18,14,0,18,0.5,12,29,10,1,0.5,7,2,17,0,0.5,3,1,19,26,0.5,18,1,19,22,0.5,10,16,1,28,0.5,7,6,15,28,0.5,19,6,6,0,0.5,1,22,1,26
43,10.453125,42,5.5,100,0.5,16,22,13,14,0.5,18,28,1,3,0.5,0,25,1,7,-1.0,11,1,14,22,0.5,0,6,10,21,0.5,1,19,18,0,0.5,6,0,17,15,0.5,6,7,15,28,-1.0,0,17,19,4,0.5,8,0,13,22,0.5,14,15,1,24,0.5,17,14,0,28,0.5,6,22,5,0,0.5,10,23,11,29,0.5,9,15,0,4,0.5,6,15,1,2,0.5,4,1,14,1
44,10.3125,42,4.0,100,0.5,13,0,19,6,0.5,10,0,7,0,0.5,0,13,0,20,0.5,2,0,1,11,-1.0,10,18,10,22,0.5,7,14,9,0,0.5,0,0,2,29,0.5,6,16,4,1,0.5,0,3,0,11,-1.0,0,27,1,7,0.5,10,19,1,0,0.5,19,12,14,0,0.5,19,28,10,28,0.5,1,9,19,2,0.5,12,14,10,17,0.5,0,29,6,6,-1.0,16,14,6,23
45,10.359375,42,-2.0,100,0.5,19,24,6,18,0.5,1,28,1,4,-1.0,17,28,15,0,0.5,1,22,2,1,0.5,10,27,6,24,0.5,0,11,14,1,0.5,18,1,15,1,-1.0,1,12,7,15,0.5,17,29,19,26,-1.0,10,22,15,14,0.5,10,25,19,12,-1.0,19,1,13,29,-1.0,1,5,10,15,-1.0,1,13,12,22,0.5,12,0,8,14,0.5,10,0,19,16,-1.0,0,4,8,15
46,10.34375,42,4.0,100,0.5,0,8,2,0,0.5,6,18,14,14,0.5,16,15,1,10,0.5,0,21,1,25,0.5,1,6,11,15,-1.0,6,26,18,15,0.5,15,22,1,18,0.5,7,5,6,22,-1.0,11,29,19,2,0.5,6,21,19,26,0.5,12,28,6,14,0.5,19,4,6,6,0.5,19,16,19,9,0.5,6,10,1,15,0.5,0,2,19,21,0.5,1,4,8,0,-1.0,8,1,19,11
47,10.265625,42,1.0,100,0.5,14,22,0,0,0.5,13,14,13,29,0.5,11,28,1,16,-1.0,6,29,19,25,0.5,18,29,19,14,0.5,16,0,7,2,-1.0,0,23,19,27,0.5,16,15,10,29,-1.0,19,8,16,28,0.5,19,18,0,5,0.5,18,28,19,4,0.5,15,29,6,14,0.5,10,16,1,18,-1.0,14,14,6,26,0.5,0,20,0,22,0.5,7,13,6,18,-1.0,9,0,14,28
48,9.5,42,25.5,93,1.5,6,1,6,11,1.5,7,13,14,1,1.5,6,7,6,18,1.5,0,2,12,28,1.5,7,5,1,25,1.5,10,19,6,4,1.5,10,23,0,10,1.5,1,15,7,6,1.5,19,15,19,19,1.5,6,16,1,7,1.5,0,15,0,22,1.5,10,17,0,5,1.5,6,21,5,1,1.5,10,25,15,22,1.5,10,29,6,14,1.5,6,5,15,0,1.5,10,16,1,0
