episode,cpu_time,seed,total_reward,timesteps,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y
65,2.4375,42,10.5,61,1.5,19,10,3,0,1.5,6,20,19,18,1.5,13,0,1,0,1.5,1,6,7,6,1.5,1,3,0,29,1.5,7,14,19,23,1.5,7,3,0,27
66,3.828125,42,2.0,100,0.5,6,19,1,19,0.5,10,25,17,29,-1.0,16,0,6,21,0.5,0,21,11,1,0.5,5,0,19,23,0.5,6,25,1,5,0.5,10,26,6,22
67,2.0625,42,10.5,50,1.5,4,29,10,17,1.5,0,8,0,21,1.5,19,11,1,21,1.5,19,18,6,23,1.5,10,20,7,7,1.5,6,0,1,3,1.5,10,23,7,6
68,2.5625,42,10.5,62,1.5,10,20,1,15,1.5,11,22,6,6,1.5,9,15,16,1,1.5,6,8,11,28,1.5,10,15,10,27,1.5,13,14,1,26,1.5,10,21,6,0
69,2.375,42,10.5,58,1.5,7,15,18,1,1.5,19,21,19,11,1.5,6,10,0,29,1.5,6,26,16,29,1.5,8,15,14,15,1.5,8,14,19,3,1.5,10,29,10,1
70,1.890625,42,10.5,45,1.5,6,0,0,12,1.5,1,26,0,26,1.5,16,22,0,9,1.5,7,13,8,0,1.5,14,14,17,28,1.5,2,1,7,11,1.5,8,1,6,15
71,2.859375,42,10.5,70,1.5,3,1,0,15,1.5,0,17,5,29,1.5,0,12,14,14,1.5,0,16,10,15,1.5,18,29,6,4,1.5,17,14,1,9,1.5,17,29,7,9
72,3.296875,42,10.5,83,1.5,18,15,12,14,1.5,13,15,10,23,1.5,17,15,1,24,1.5,14,28,6,23,1.5,19,7,6,13,1.5,6,27,1,5,1.5,0,3,13,22
73,3.9375,42,2.0,100,0.5,19,28,13,15,0.5,0,17,1,2,0.5,19,20,12,29,0.5,0,27,7,0,0.5,7,14,15,22,-1.0,7,12,5,29,0.5,6,11,6,25
74,1.890625,42,10.5,44,1.5,12,15,6,23,1.5,0,2,13,22,1.5,6,4,1,7,1.5,15,0,1,17,1.5,6,16,15,1,1.5,11,14,7,4,1.5,19,12,8,14
75,2.59375,42,10.5,64,1.5,17,29,6,17,1.5,1,15,18,0,1.5,10,1,7,0,1.5,17,28,16,22,1.5,19,11,11,28,1.5,19,20,7,13,1.5,19,27,1,2
76,2.359375,42,10.5,57,1.5,7,7,19,8,1.5,6,27,1,25,1.5,0,9,1,11,1.5,6,3,7,5,1.5,0,18,19,11,1.5,15,0,5,1,1.5,17,28,1,4
77,2.03125,42,10.5,48,1.5,7,10,1,25,1.5,4,0,2,1,1.5,1,14,0,19,1.5,19,16,19,28,1.5,0,10,10,20,1.5,1,23,0,3,1.5,11,0,14,0
78,1.765625,42,10.5,42,1.5,6,21,6,11,1.5,11,22,14,1,1.5,10,1,0,13,1.5,17,29,12,14,1.5,18,0,16,14,1.5,11,14,10,26,1.5,18,14,15,14
79,4.015625,42,2.0,100,0.5,6,3,7,13,0.5,18,0,6,12,0.5,19,14,18,14,0.5,14,28,7,8,-1.0,9,1,8,15,0.5,6,5,12,29,0.5,19,2,15,22
80,1.71875,42,10.5,41,1.5,6,15,0,5,1.5,18,1,0,24,1.5,0,27,8,0,1.5,6,26,6,5,1.5,19,9,10,19,1.5,10,20,8,15,1.5,5,0,7,12
81,2.59375,42,10.5,64,1.5,0,1,19,13,1.5,1,10,10,25,1.5,6,17,0,5,1.5,6,19,6,5,1.5,19,29,6,0,1.5,11,0,1,29,1.5,19,11,1,13
82,1.625,42,10.5,35,1.5,10,15,11,1,1.5,10,23,8,14,1.5,1,2,13,14,1.5,13,0,0,1,1.5,7,0,6,23,1.5,5,1,1,8,1.5,6,24,3,0
83,2.328125,42,10.5,62,1.5,19,26,19,21,1.5,7,7,3,29,1.5,19,2,14,0,1.5,13,28,15,14,1.5,19,25,11,28,1.5,10,28,7,15,1.5,16,22,19,7
84,4.078125,42,10.5,100,1.5,7,14,11,28,1.5,0,26,19,21,1.5,0,16,10,0,1.5,10,28,14,14,1.5,16,0,16,29,1.5,18,29,11,22,1.5,7,3,6,28
85,1.78125,42,10.5,44,1.5,17,14,4,29,1.5,4,0,0,28,1.5,1,5,0,1,1.5,6,23,14,15,1.5,19,23,14,29,1.5,19,26,6,7,1.5,0,24,11,1
86,4.046875,42,2.0,100,-1.0,19,26,0,16,0.5,19,1,6,22,0.5,7,10,1,25,0.5,0,9,18,15,0.5,7,14,7,4,0.5,19,21,19,24,0.5,15,29,6,2
87,2.5,42,10.5,62,1.5,16,22,0,12,1.5,9,1,0,8,1.5,10,1,1,24,1.5,16,14,2,0,1.5,11,22,19,12,1.5,1,20,17,14,1.5,0,19,6,29
88,2.0,42,10.5,49,1.5,12,15,14,22,1.5,19,14,18,29,1.5,0,25,0,1,1.5,6,13,15,14,1.5,19,19,13,28,1.5,6,12,15,28,1.5,0,11,11,29
89,3.390625,42,10.5,87,1.5,1,23,7,15,1.5,19,8,19,18,1.5,0,11,0,1,1.5,14,22,0,23,1.5,6,18,10,28,1.5,6,15,6,29,1.5,16,22,18,15
90,1.546875,42,10.5,37,1.5,13,14,18,14,1.5,6,19,6,23,1.5,15,1,1,24,1.5,2,0,19,6,1.5,12,22,10,25,1.5,0,6,1,28,1.5,8,15,12,14
91,2.484375,42,10.5,61,1.5,13,22,19,4,1.5,4,29,9,15,1.5,19,7,2,29,1.5,8,14,10,21,1.5,6,7,7,0,1.5,18,14,0,26,1.5,15,29,6,18
92,1.3125,42,10.5,29,1.5,7,1,4,1,1.5,6,6,11,14,1.5,12,15,19,29,1.5,18,29,13,29,1.5,1,12,6,25,1.5,0,19,9,0,1.5,12,22,16,28
93,2.296875,42,10.5,59,1.5,1,12,6,17,1.5,10,17,0,13,1.5,0,27,10,22,1.5,15,28,19,29,1.5,6,21,18,14,1.5,1,1,14,15,1.5,9,0,13,14
94,2.390625,42,10.5,58,1.5,6,11,5,0,1.5,0,23,0,4,1.5,1,0,10,1,1.5,7,11,0,18,1.5,19,10,0,15,1.5,6,6,1,16,1.5,1,20,6,8
95,3.84375,42,2.0,100,0.5,6,24,3,29,-1.0,7,0,19,25,0.5,6,6,9,1,0.5,7,1,19,4,0.5,19,21,19,20,0.5,19,2,7,13,0.5,11,1,15,0
96,3.09375,42,10.5,77,1.5,19,5,10,21,1.5,6,2,1,19,1.5,10,14,14,22,1.5,6,7,19,9,1.5,19,6,5,1,1.5,1,23,19,26,1.5,6,16,8,15
97,2.53125,42,10.5,57,1.5,6,1,0,13,1.5,1,25,3,1,1.5,18,14,0,0,1.5,10,27,1,10,1.5,11,28,1,5,1.5,4,29,19,1,1.5,0,5,6,7
98,1.90625,42,10.5,46,1.5,6,28,1,28,1.5,11,1,12,15,1.5,16,0,10,20,1.5,10,14,18,28,1.5,1,27,7,7,1.5,10,19,19,28,1.5,16,14,19,18
99,2.15625,42,10.5,49,1.5,1,12,19,19,1.5,7,5,11,28,1.5,16,1,6,25,1.5,17,0,1,9,1.5,12,14,10,14,1.5,2,1,0,23,1.5,19,7,6,1
100,2.734375,42,10.5,71,1.5,19,20,10,17,1.5,0,8,1,26,1.5,1,1,0,11,1.5,15,29,14,22,1.5,7,15,0,23,1.5,6,27,0,9,1.5,19,15,4,1
