episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
45,60.09375,42,,,,19,16,0,27,,,1,6,19,23,,,1,3,1,0,,,7,3,19,18,,,7,14,3,0,,,13,0,0,21,,,6,20,5,0,,,19,10,10,26,,,7,6,6,25,,,0.0,29.0,16.0,0.0,,,,,,
46,60.046875,42,,,,10,25,10,20,,,6,19,10,23,,,11,1,6,0,,,19,23,19,11,,,6,22,0,8,,,1,5,4,29,,,6,21,6,23,,,17,29,7,7,,,1,19,7,6,,,19.0,18.0,1.0,3.0,,,,,,
47,60.015625,42,,,,1,21,11,28,,,0,21,10,27,,,10,17,6,0,,,6,8,1,26,,,10,15,16,1,,,10,21,6,6,,,13,14,1,15,,,9,15,6,26,,,11,22,8,15,,,10.0,20.0,10.0,29.0,,,,,,
48,0.234375,42,43.0,5.0,4.0,6,10,7,13,13.0,12.0,19,21,14,14,16.0,15.0,7,15,8,1,43.0,42.0,16,29,2,1,18.0,17.0,14,15,16,22,35.0,34.0,10,1,1,26,17.0,16.0,19,3,6,0,38.0,37.0,0,29,8,0,23.0,21.0,19,11,17,28,,,,,,,26.0,25.0,8.0,14.0,18.0,1.0
49,60.109375,42,,,,6,15,3,1,,,7,11,10,15,,,0,9,6,4,,,0,26,7,9,,,0,12,1,9,,,0,16,14,14,,,18,29,5,29,,,17,29,0,15,,,17,14,14,28,,,0.0,17.0,19.0,7.0,,,,,,
50,60.0625,42,,,,0,3,10,23,,,6,27,12,14,,,17,15,0,27,,,13,15,7,14,,,18,15,6,11,,,6,23,7,12,,,6,13,19,20,,,13,22,0,17,,,1,5,19,28,,,1.0,24.0,7.0,0.0,,,,,,
51,60.03125,42,,,,15,22,6,4,,,6,25,0,2,,,5,29,12,15,,,12,29,1,17,,,1,2,15,1,,,13,15,8,14,,,15,0,7,4,,,6,16,1,7,,,19,12,13,22,,,11.0,14.0,6.0,23.0,,,,,,
52,60.046875,42,,,,17,28,7,13,,,19,11,7,0,,,19,27,18,0,,,19,20,6,17,,,10,1,6,3,,,1,15,0,18,,,17,29,15,0,,,16,22,0,9,,,11,28,6,27,,,1.0,2.0,7.0,7.0,,,,,,
53,60.03125,42,,,,7,5,1,23,,,19,11,1,14,,,1,4,4,0,,,5,1,7,10,,,1,11,19,28,,,1,25,10,20,,,19,8,14,0,,,19,16,0,3,,,0,10,0,19,,,11.0,0.0,2.0,1.0,,,,,,
54,60.0625,42,,,,1,25,15,14,,,17,29,10,26,,,18,0,0,13,,,18,14,14,1,,,11,14,6,11,,,10,1,14,28,,,11,22,9,1,,,6,21,19,2,,,12,14,6,5,,,16.0,14.0,19.0,14.0,,,,,,
