episode,cpu_time,seed,total_reward,timesteps,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y
60,1.328125,42,9.0,37,1.5,1,17,17,1,1.5,6,23,6,4,1.5,12,14,15,14,1.5,19,12,14,22,1.5,14,14,11,1,1.5,15,28,19,6
61,1.640625,42,9.0,46,1.5,8,15,0,19,1.5,2,1,1,6,1.5,6,0,19,15,1.5,16,15,19,21,1.5,5,29,10,1,1.5,6,11,1,3
62,1.609375,42,9.0,45,1.5,0,29,6,10,1.5,6,28,10,0,1.5,14,14,15,29,1.5,14,15,19,18,1.5,1,10,10,26,1.5,6,15,19,15
63,3.3125,42,1.5,100,0.5,11,28,6,25,0.5,7,7,13,29,-1.0,19,26,0,27,0.5,1,2,18,0,0.5,0,1,2,29,0.5,6,14,19,18
64,1.65625,42,9.0,47,1.5,0,28,9,14,1.5,18,1,10,20,1.5,0,27,0,2,1.5,19,2,0,7,1.5,7,7,0,21,1.5,11,1,12,29
65,1.90625,42,9.0,54,1.5,6,26,0,2,1.5,7,2,7,3,1.5,4,1,5,0,1.5,14,0,6,0,1.5,19,22,8,0,1.5,17,15,6,29
66,1.921875,42,9.0,52,1.5,9,14,12,28,1.5,19,11,19,29,1.5,0,25,3,29,1.5,14,22,0,10,1.5,6,17,17,28,1.5,15,29,19,2
67,1.6875,42,9.0,62,1.5,19,29,12,22,1.5,0,9,11,22,1.5,0,5,19,6,1.5,0,24,10,28,1.5,1,1,18,28,1.5,12,1,0,20
68,2.484375,42,9.0,81,1.5,7,1,0,3,1.5,0,6,15,28,1.5,1,2,19,9,1.5,1,26,16,29,1.5,18,14,4,0,1.5,1,25,1,15
69,3.3125,42,0.5,100,0.5,0,1,16,22,-0.5,11,29,17,1,0.5,1,5,19,21,0.5,19,9,10,24,0.5,0,11,1,24,-1.0,0,8,19,25
70,1.859375,42,9.0,53,1.5,0,13,15,22,1.5,3,29,19,22,1.5,12,14,18,0,1.5,18,1,19,13,1.5,16,22,13,1,1.5,1,26,0,27
71,2.21875,42,9.0,63,1.5,0,9,7,13,1.5,17,1,0,26,1.5,7,2,9,1,1.5,17,28,0,28,1.5,1,16,14,28,1.5,7,0,13,1
72,1.28125,42,9.0,35,1.5,18,1,1,14,1.5,9,15,17,0,1.5,7,0,0,3,1.5,11,0,14,15,1.5,1,5,2,29,1.5,0,19,0,12
73,1.828125,42,9.0,54,1.5,19,25,10,27,1.5,0,22,7,14,1.5,14,29,0,1,1.5,13,22,0,12,1.5,10,26,0,9,1.5,8,1,0,16
74,2.203125,42,9.0,79,1.5,13,22,1,12,1.5,1,20,6,12,1.5,6,22,6,14,1.5,19,3,0,21,1.5,1,9,19,25,1.5,7,3,15,22
75,1.421875,42,9.0,46,1.5,16,0,1,3,1.5,10,21,19,0,1.5,1,28,1,26,1.5,7,3,10,17,1.5,11,1,19,17,1.5,9,14,7,0
76,2.46875,42,9.0,74,1.5,10,18,1,6,1.5,9,1,11,22,1.5,13,14,1,3,1.5,5,0,6,29,1.5,1,28,7,3,1.5,6,23,19,16
77,3.375,42,1.5,100,0.5,19,10,19,18,0.5,7,14,0,27,0.5,7,6,3,0,-1.0,13,0,19,23,0.5,0,29,0,21,0.5,6,20,1,0
78,3.375,42,-0.5,100,0.5,16,0,1,5,0.5,5,0,11,1,-0.5,10,25,6,21,0.5,10,26,19,23,-1.0,6,19,17,29,-0.5,6,25,6,22
79,2.890625,42,9.0,77,1.5,10,23,7,7,1.5,1,19,0,8,1.5,6,0,7,6,1.5,19,18,4,29,1.5,19,11,1,3,1.5,10,20,6,23
80,2.90625,42,-2.0,100,-1.0,6,8,10,20,0.5,1,21,13,14,-1.0,10,15,11,28,-0.5,0,21,9,15,-0.5,10,21,10,27,0.5,10,17,11,22
81,2.0625,42,9.0,74,1.5,6,6,8,14,1.5,6,0,6,26,1.5,9,15,6,10,1.5,1,26,8,15,1.5,1,15,19,21,1.5,16,1,10,29
82,3.140625,42,2.0,100,0.5,10,1,14,14,-0.5,7,15,19,11,0.5,19,3,8,1,0.5,16,29,18,1,0.5,0,29,2,1,0.5,14,15,7,13
83,2.5,42,9.0,73,1.5,8,0,0,12,1.5,16,22,7,11,1.5,17,28,0,16,1.5,1,26,0,9,1.5,6,15,18,29,1.5,6,0,0,26
84,3.046875,42,9.0,90,1.5,0,17,14,14,1.5,17,29,6,4,1.5,3,1,5,29,1.5,17,14,7,9,1.5,10,15,0,15,1.5,0,12,1,9
85,1.5625,42,9.0,43,1.5,6,27,13,22,1.5,14,28,18,15,1.5,17,15,1,5,1.5,19,7,6,23,1.5,13,15,1,24,1.5,0,3,6,13
86,1.828125,42,9.0,50,1.5,7,14,7,0,1.5,10,23,19,20,1.5,6,11,15,22,1.5,12,14,0,17,1.5,7,12,6,25,1.5,0,27,19,28
87,1.5,42,9.0,42,1.5,1,2,6,4,1.5,5,29,6,16,1.5,13,15,0,2,1.5,15,22,19,12,1.5,15,0,12,15,1.5,12,29,11,14
88,1.71875,42,9.0,48,1.5,7,4,19,27,1.5,1,17,6,23,1.5,1,7,19,20,1.5,15,1,17,28,1.5,13,22,10,1,1.5,8,14,19,11
89,3.234375,42,9.0,95,1.5,19,27,6,17,1.5,1,15,7,13,1.5,11,28,6,3,1.5,17,29,7,0,1.5,1,2,0,18,1.5,16,22,18,0
90,2.046875,42,9.0,58,1.5,6,27,1,11,1.5,17,28,19,11,1.5,7,7,1,25,1.5,15,0,1,4,1.5,7,5,19,8,1.5,0,9,5,1
91,3.375,42,1.5,100,0.5,1,23,14,0,0.5,19,16,7,10,0.5,1,14,0,3,-1.0,0,10,19,28,0.5,4,0,0,19,0.5,11,0,10,20
92,2.609375,42,9.0,76,1.5,18,0,12,14,1.5,2,1,10,1,1.5,18,14,16,14,1.5,1,25,11,22,1.5,11,14,15,14,1.5,17,29,6,21
93,3.421875,42,1.5,100,0.5,6,11,18,0,0.5,10,26,19,2,0.5,14,28,6,3,0.5,0,13,6,5,0.5,9,1,7,8,-1.0,14,1,19,14
94,2.25,42,9.0,65,1.5,18,14,10,20,1.5,8,15,6,26,1.5,6,12,0,27,1.5,15,22,19,9,1.5,7,13,18,1,1.5,12,29,5,0
95,1.5625,42,9.0,42,1.5,7,12,6,19,1.5,6,15,8,0,1.5,18,1,19,29,1.5,6,5,0,24,1.5,8,15,19,11,1.5,10,19,0,5
96,1.265625,42,9.0,34,1.5,0,1,10,25,1.5,11,0,1,13,1.5,6,5,19,13,1.5,6,17,1,29,1.5,6,0,13,0,1.5,1,10,0,5
97,1.125,42,9.0,30,1.5,1,2,1,8,1.5,7,0,0,1,1.5,10,23,13,14,1.5,6,24,6,23,1.5,10,15,8,14,1.5,5,1,3,0
98,1.21875,42,9.0,33,1.5,16,22,11,28,1.5,11,1,7,7,1.5,10,28,19,7,1.5,13,28,19,26,1.5,19,2,7,15,1.5,19,25,15,14
99,2.53125,42,9.0,74,1.5,10,28,7,14,1.5,14,0,18,29,1.5,16,0,14,14,1.5,3,29,0,16,1.5,7,3,16,29,1.5,19,21,0,26
100,2.015625,42,9.0,57,1.5,19,21,1,5,1.5,6,28,19,23,1.5,11,28,4,0,1.5,11,22,0,24,1.5,6,23,17,14,1.5,10,0,19,26
