episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_11_steps,agent_11_total_distance,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
48,60.015625,42,,,,5,1,19,28,,,1,11,10,20,,,1,25,14,0,,,19,8,0,3,,,19,16,0,19,,,0,10,2,1,,,11,0,17,29,,,1,23,18,0,,,1,14,18,14,,,4,0,11,14,,,7.0,10.0,10.0,1.0,,,,,,
49,60.046875,42,,,,11,22,19,2,,,6,21,6,5,,,12,14,19,14,,,16,14,18,0,,,15,14,6,3,,,10,26,7,8,,,0,13,8,15,,,14,1,15,22,,,6,11,12,29,,,14,28,18,14,,,9.0,1.0,6.0,12.0,,,,,,
50,60.03125,42,,,,7,13,8,15,,,6,26,8,0,,,19,9,0,24,,,5,0,0,5,,,10,20,6,19,,,0,27,19,29,,,18,1,19,11,,,6,15,11,0,,,6,5,6,17,,,10,19,1,10,,,7.0,12.0,0.0,1.0,,,,,,
51,60.03125,42,,,,6,5,1,2,,,6,0,10,23,,,1,13,10,15,,,1,29,0,1,,,0,5,6,23,,,10,25,3,0,,,19,13,1,8,,,13,0,13,14,,,7,0,8,14,,,6,24,11,1,,,5.0,1.0,13.0,28.0,,,,,,
52,60.0625,42,,,,19,25,3,29,,,16,22,19,21,,,10,28,16,0,,,19,2,7,3,,,7,7,18,29,,,19,26,0,16,,,15,14,0,26,,,11,28,7,14,,,19,7,14,14,,,7,15,16,29,,,14.0,0.0,6.0,28.0,,,,,,
53,60.046875,42,,,,11,22,14,15,,,10,0,14,29,,,19,21,11,1,,,11,28,6,7,,,6,23,0,1,,,19,23,0,28,,,0,24,4,29,,,19,26,0,9,,,1,5,7,14,,,4,0,15,29,,,17.0,14.0,7.0,10.0,,,,,,
54,60.03125,42,,,,19,1,0,19,,,19,26,1,20,,,18,15,10,1,,,7,4,9,1,,,6,2,16,22,,,19,24,2,0,,,1,25,19,12,,,6,22,6,29,,,0,16,17,14,,,16,14,1,24,,,11.0,22.0,0.0,8.0,,,,,,
55,60.03125,42,,,,0,12,15,28,,,6,13,0,1,,,19,19,18,29,,,0,11,14,22,,,6,12,6,18,,,0,25,16,22,,,19,14,6,15,,,12,15,19,8,,,15,14,1,23,,,13,28,0,23,,,11.0,29.0,10.0,28.0,,,,,,
56,60.0625,42,,,,1,23,6,19,,,18,15,13,14,,,6,29,19,6,,,0,1,10,25,,,19,18,12,14,,,7,15,1,28,,,2,0,1,24,,,12,22,6,23,,,8,15,18,14,,,0,6,8,14,,,15.0,1.0,6.0,7.0,,,,,,
57,60.0625,42,,,,15,29,19,4,,,18,14,18,29,,,19,7,1,12,,,4,29,12,22,,,13,22,0,19,,,10,21,12,15,,,7,0,6,6,,,6,18,7,1,,,0,26,13,29,,,2,29,6,25,,,9.0,15.0,16.0,28.0,,,,,,
