episode,cpu_time,seed,total_reward,timesteps,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y
44,5.265625,42,3.0,100,0.5,0,9,12,22,-1.0,0,20,18,14,0.5,19,29,0,6,0.5,0,5,1,26,0.5,11,22,7,1,0.5,10,28,1,2,0.5,12,1,18,28,0.5,1,1,1,25,0.5,0,24,19,6
45,4.53125,42,13.5,88,1.5,15,28,1,5,1.5,0,1,3,29,1.5,0,3,10,24,1.5,19,9,19,25,1.5,11,29,19,21,1.5,0,8,1,24,1.5,1,15,17,1,1.5,4,0,16,22,1.5,16,29,0,11
46,2.984375,42,13.5,55,1.5,18,1,18,0,1.5,15,22,0,26,1.5,12,14,17,28,1.5,16,22,7,0,1.5,19,13,7,2,1.5,0,27,1,16,1.5,0,13,17,1,1.5,19,22,0,9,1.5,1,26,13,1
47,3.84375,42,13.5,74,1.5,0,28,7,0,1.5,18,1,0,22,1.5,9,1,14,15,1.5,14,28,0,12,1.5,11,0,0,3,1.5,0,19,2,29,1.5,7,13,17,0,1.5,9,15,1,14,1.5,13,1,1,5
48,5.15625,42,1.5,100,0.5,13,22,0,1,-1.0,10,27,0,21,0.5,14,29,19,3,0.5,10,26,7,3,0.5,0,12,1,9,0.5,0,16,6,12,-1.0,19,25,1,20,0.5,7,14,6,22,0.5,8,1,0,9
49,4.34375,42,13.5,82,1.5,15,22,11,1,1.5,1,28,5,0,1.5,19,25,7,0,1.5,10,21,1,3,1.5,9,14,19,17,1.5,16,0,9,1,1.5,6,14,10,17,1.5,7,3,1,26,1.5,1,12,19,0
50,5.1875,42,3.0,100,0.5,6,23,1,3,0.5,1,6,0,27,0.5,13,14,13,0,0.5,1,28,6,20,0.5,6,29,7,6,-1.0,19,16,0,29,0.5,9,1,7,14,0.5,11,22,19,10,0.5,10,18,7,3
51,5.15625,42,3.0,100,0.5,19,23,10,25,0.5,16,0,10,20,-1.0,3,0,6,22,0.5,0,21,1,5,0.5,10,26,17,29,0.5,6,25,1,19,0.5,19,18,11,1,0.5,5,0,6,21,0.5,1,0,6,19
52,5.203125,42,-1.5,100,0.5,10,23,1,21,-1.0,1,3,11,22,0.5,0,8,6,8,-1.0,4,29,10,15,0.5,7,7,13,14,-1.0,7,6,9,15,0.5,19,11,10,17,-1.0,6,23,10,21,0.5,6,0,0,21
53,5.265625,42,3.0,100,0.5,10,20,6,26,-1.0,1,15,14,15,0.5,6,0,8,14,0.5,1,26,6,10,0.5,6,6,7,15,0.5,9,15,16,29,0.5,10,27,10,29,0.5,16,1,19,21,0.5,11,28,8,15
54,4.359375,42,13.5,83,1.5,10,1,16,22,1.5,2,1,0,26,1.5,19,11,8,0,1.5,18,1,17,28,1.5,14,14,7,11,1.5,8,1,0,9,1.5,0,29,6,0,1.5,7,13,6,15,1.5,19,3,1,26
55,3.828125,42,13.5,73,1.5,0,12,7,9,1.5,6,4,6,27,1.5,17,29,5,29,1.5,17,14,0,15,1.5,3,1,19,7,1.5,10,15,0,3,1.5,18,29,14,14,1.5,0,17,14,28,1.5,0,16,1,9
56,5.109375,42,3.0,100,0.5,17,15,12,14,0.5,10,23,7,0,0.5,6,23,6,11,0.5,6,13,7,12,0.5,1,5,0,17,-1.0,1,24,19,28,0.5,18,15,7,14,0.5,13,22,19,20,0.5,13,15,0,27
57,2.53125,42,13.5,47,1.5,15,22,11,14,1.5,19,12,1,7,1.5,12,29,12,15,1.5,1,2,1,17,1.5,15,0,8,14,1.5,6,16,7,4,1.5,5,29,0,2,1.5,13,15,15,1,1.5,6,25,6,4
58,3.859375,42,13.5,74,1.5,13,22,17,29,1.5,1,15,6,3,1.5,17,28,1,2,1.5,19,11,7,13,1.5,19,20,18,0,1.5,10,1,6,17,1.5,6,23,11,28,1.5,19,27,7,0,1.5,1,7,16,22
59,4.734375,42,13.5,91,1.5,0,18,5,1,1.5,1,4,1,14,1.5,0,9,19,8,1.5,6,27,19,16,1.5,7,5,11,0,1.5,19,11,1,23,1.5,15,0,1,25,1.5,7,7,0,10,1.5,17,28,1,11
60,3.109375,42,13.5,58,1.5,4,0,1,25,1.5,2,1,12,14,1.5,19,28,18,14,1.5,10,20,11,14,1.5,0,3,11,22,1.5,0,19,6,21,1.5,7,10,18,0,1.5,14,0,10,1,1.5,1,14,17,29
61,3.421875,42,13.5,64,1.5,16,14,6,5,1.5,19,2,18,14,1.5,0,13,6,3,1.5,14,1,7,8,1.5,14,28,15,22,1.5,9,1,12,29,1.5,10,26,18,0,1.5,6,11,8,15,1.5,15,14,19,14
62,3.65625,42,13.5,70,1.5,6,12,6,5,1.5,6,15,19,29,1.5,19,9,8,15,1.5,5,0,8,0,1.5,0,27,0,5,1.5,18,1,6,19,1.5,6,26,7,12,1.5,10,20,0,24,1.5,7,13,10,19
63,4.21875,42,13.5,78,1.5,19,11,0,5,1.5,1,29,10,23,1.5,1,10,13,0,1.5,0,1,7,0,1.5,6,0,5,1,1.5,1,13,1,2,1.5,6,17,19,13,1.5,6,5,6,24,1.5,11,0,10,25
64,5.109375,42,1.5,100,0.5,10,15,19,25,0.5,13,28,19,7,0.5,3,0,19,2,0.5,1,8,7,7,0.5,8,14,15,14,-1.0,11,1,11,28,0.5,6,23,10,28,-1.0,13,14,19,26,0.5,0,1,16,22
