episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_11_steps,agent_11_total_distance,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_12_steps,agent_12_total_distance,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
49,60.03125,42,,,,3,8,9,6,,,8,0,9,4,,,9,2,1,1,,,9,8,6,14,,,3,2,0,9,,,6,18,3,7,,,6,4,6,19,,,4,0,3,17,,,3,14,8,10,,,0,13,5,10,,,2,19,9,19,,,5.0,19.0,6.0,10.0,,,,,,
50,60.046875,42,,,,3,2,6,5,,,7,19,0,6,,,3,15,3,13,,,5,10,4,19,,,0,15,9,10,,,0,13,1,19,,,6,2,3,7,,,1,1,0,11,,,9,19,3,10,,,9,3,0,9,,,6,17,0,7,,,7.0,1.0,3.0,8.0,,,,,,
51,60.046875,42,,,,1,10,5,18,,,6,0,9,17,,,0,2,3,1,,,3,3,3,8,,,4,0,9,8,,,9,15,3,12,,,6,9,2,1,,,9,6,6,1,,,3,7,3,5,,,3,16,9,7,,,7,10,9,9,,,5.0,0.0,5.0,10.0,,,,,,
52,60.03125,42,,,,9,18,0,18,,,7,9,3,8,,,1,19,9,5,,,6,4,0,0,,,6,7,3,0,,,6,11,0,7,,,0,2,6,1,,,3,2,2,10,,,9,3,8,1,,,2,1,6,3,,,3,5,8,0,,,1.0,0.0,6.0,9.0,,,,,,
53,60.015625,42,,,,3,18,8,1,,,9,3,4,9,,,4,10,1,1,,,9,14,0,19,,,9,19,6,1,,,6,4,3,5,,,6,14,0,11,,,2,10,3,17,,,8,18,6,11,,,6,13,3,4,,,9,8,8,0,,,2.0,18.0,5.0,1.0,,,,,,
54,60.046875,42,,,,9,12,9,18,,,3,18,4,0,,,0,16,2,18,,,0,4,5,1,,,9,15,8,1,,,7,1,3,4,,,0,11,9,2,,,3,2,0,12,,,0,5,6,9,,,2,9,3,12,,,6,2,8,0,,,0.0,7.0,9.0,8.0,,,,,,
55,60.03125,42,,,,6,16,0,13,,,4,0,9,4,,,1,18,0,18,,,9,17,0,12,,,3,3,5,0,,,4,18,2,19,,,3,13,0,3,,,2,0,3,6,,,3,16,3,15,,,0,17,3,18,,,0,0,5,19,,,3.0,1.0,8.0,0.0,,,,,,
56,60.046875,42,,,,4,9,3,6,,,9,1,7,9,,,5,10,9,11,,,2,18,0,5,,,2,0,4,19,,,3,5,4,1,,,6,5,6,18,,,2,9,1,9,,,9,10,0,17,,,4,10,6,6,,,9,4,0,16,,,6.0,15.0,0.0,2.0,,,,,,
57,60.03125,42,,,,9,10,2,9,,,0,10,6,2,,,0,1,2,0,,,9,12,6,4,,,1,1,6,15,,,8,18,9,2,,,0,3,4,19,,,0,17,0,0,,,0,12,3,0,,,6,17,5,10,,,6,7,4,1,,,4.0,10.0,0.0,18.0,,,,,,
58,60.03125,42,,,,9,8,9,9,,,7,19,9,18,,,9,19,0,9,,,9,3,3,9,,,3,1,7,1,,,2,10,8,18,,,2,9,0,17,,,9,10,3,4,,,6,0,5,19,,,4,0,8,9,,,9,16,0,13,,,6.0,5.0,3.0,2.0,,,,,,
59,60.015625,42,,,,1,19,0,2,,,5,1,6,17,,,3,16,0,19,,,6,9,6,12,,,3,4,7,0,,,8,19,9,2,,,0,9,6,18,,,9,3,3,2,,,0,3,0,14,,,7,1,9,7,,,3,8,0,17,,,3.0,12.0,6.0,4.0,,,,,,
60,60.046875,42,,,,2,1,0,0,,,0,14,9,11,,,8,0,0,1,,,0,16,6,0,,,6,13,6,3,,,6,16,3,13,,,0,6,6,2,,,1,0,9,8,,,8,9,0,10,,,5,0,9,6,,,9,19,3,16,,,2.0,18.0,5.0,18.0,,,,,,
61,60.015625,42,,,,0,19,9,17,,,6,8,9,1,,,1,1,1,9,,,2,19,0,2,,,6,19,0,6,,,0,5,6,5,,,3,19,0,18,,,6,4,2,0,,,0,15,9,2,,,3,2,9,5,,,3,7,2,10,,,6.0,12.0,6.0,7.0,,,,,,
62,60.09375,42,,,,6,6,6,19,,,1,1,9,18,,,6,0,0,17,,,5,9,3,16,,,3,13,9,11,,,7,10,5,1,,,6,14,9,13,,,5,10,0,1,,,7,0,0,4,,,7,18,8,9,,,6,1,3,9,,,2.0,19.0,3.0,17.0,,,,,,
63,60.046875,42,,,,3,15,9,15,,,9,12,2,18,,,0,10,1,0,,,7,19,1,10,,,9,7,9,10,,,6,12,9,3,,,3,13,9,18,,,0,18,9,9,,,6,15,2,9,,,4,9,1,18,,,0,17,3,7,,,3.0,9.0,9.0,6.0,,,,,,
64,60.03125,42,,,,7,1,9,14,,,6,10,6,2,,,9,5,3,19,,,3,11,0,12,,,3,15,9,8,,,5,1,6,17,,,0,10,9,4,,,7,9,9,3,,,6,11,8,9,,,7,0,5,0,,,5,10,0,11,,,8.0,0.0,0.0,0.0,,,,,,
65,60.015625,42,,,,1,10,9,6,,,3,17,6,8,,,7,9,3,13,,,4,0,3,5,,,0,2,3,8,,,1,18,6,6,,,9,17,6,2,,,9,18,6,3,,,3,11,3,12,,,8,10,3,15,,,6,19,0,1,,,9.0,12.0,6.0,5.0,,,,,,
66,60.015625,42,,,,6,2,3,6,,,9,12,0,18,,,5,0,3,3,,,4,9,6,15,,,0,7,0,5,,,1,9,0,2,,,3,7,9,14,,,3,11,7,0,,,3,10,2,9,,,3,13,0,11,,,7,19,7,10,,,0.0,15.0,6.0,3.0,,,,,,
67,60.03125,42,,,,9,6,0,14,,,3,7,0,5,,,3,0,0,0,,,4,10,0,10,,,1,10,9,15,,,9,17,2,9,,,1,1,6,11,,,5,9,6,14,,,0,6,4,19,,,4,9,0,12,,,4,0,2,1,,,2.0,18.0,2.0,10.0,,,,,,
68,60.046875,42,,,,0,15,9,14,,,3,2,6,4,,,3,4,0,8,,,7,18,3,15,,,9,5,9,13,,,7,19,3,3,,,9,8,1,19,,,0,12,6,0,,,9,18,3,17,,,6,7,0,11,,,9,17,8,18,,,3.0,9.0,9.0,2.0,,,,,,
