episode,cpu_time,seed,total_reward,timesteps,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y
33,10.296875,42,-2.5,100,-1.0,0,13,7,13,0.5,19,14,6,15,0.5,18,14,19,29,0.5,7,8,8,0,0.5,6,3,7,12,0.5,8,15,0,24,-1.0,12,29,6,19,0.5,6,5,18,1,-1.0,18,0,10,19,0.5,6,11,19,9,-1.0,15,22,0,5,0.5,14,1,6,26,-1.0,10,26,6,12,0.5,19,2,0,27,-1.0,9,1,10,20,-1.0,14,28,5,0
34,10.15625,42,0.5,100,-1.0,11,0,10,23,0.5,1,29,11,1,-1.0,5,1,19,26,-1.0,19,13,16,22,0.5,10,25,19,25,-1.0,13,0,10,28,0.5,6,24,7,7,0.5,1,13,8,14,-1.0,0,5,13,28,0.5,1,10,6,23,0.5,7,0,19,2,0.5,6,17,10,15,0.5,19,11,1,2,0.5,6,0,13,14,0.5,6,5,1,8,0.5,0,1,3,0
35,9.921875,42,6.5,100,0.5,11,28,11,22,0.5,16,0,4,0,0.5,16,29,0,28,0.5,0,16,14,29,0.5,18,29,14,15,0.5,0,26,11,1,0.5,14,14,0,1,0.5,10,28,1,5,0.5,7,3,17,14,0.5,7,15,6,23,0.5,7,14,6,7,0.5,19,7,10,0,-1.0,15,14,6,28,0.5,19,21,19,26,0.5,3,29,0,24,0.5,14,0,19,23
36,9.96875,42,5.0,100,0.5,0,9,0,19,-1.0,18,15,6,29,0.5,16,14,0,11,0.5,19,24,0,8,0.5,6,2,1,24,0.5,1,25,0,12,0.5,0,16,19,19,0.5,19,26,19,12,0.5,7,4,17,14,0.5,15,29,10,1,0.5,6,22,6,13,0.5,7,14,1,20,0.5,4,29,11,22,0.5,19,1,2,0,-1.0,7,10,16,22,0.5,19,21,9,1
37,9.6875,42,24.0,99,1.5,0,25,0,23,1.5,0,1,12,22,1.5,19,8,10,25,1.5,6,18,15,1,1.5,14,22,0,6,1.5,16,22,6,19,1.5,0,11,19,6,1.5,15,28,2,0,1.5,18,29,8,15,1.5,12,15,18,15,1.5,6,15,13,14,1.5,19,14,10,28,1.5,6,12,1,23,1.5,11,29,7,15,1.5,13,28,19,18,1.5,15,14,6,29
38,9.671875,42,5.0,100,0.5,1,28,19,4,0.5,19,7,7,1,0.5,2,29,4,1,0.5,10,21,16,28,-1.0,13,22,6,25,0.5,7,0,9,0,0.5,0,26,11,14,0.5,15,29,6,6,0.5,4,29,13,29,0.5,6,23,1,12,0.5,6,18,19,29,-1.0,1,24,18,29,0.5,12,14,9,15,0.5,6,7,12,15,0.5,8,14,0,19,0.5,18,14,12,22
39,9.015625,42,-1.0,100,0.5,6,21,6,6,-1.0,18,14,1,16,0.5,19,10,19,2,-1.0,10,22,5,0,0.5,14,15,0,4,0.5,0,13,7,1,0.5,7,11,11,1,0.5,19,29,6,8,0.5,13,14,10,1,0.5,1,1,0,23,0.5,6,17,19,21,0.5,9,0,1,0,-1.0,15,28,1,20,-1.0,1,12,0,15,-1.0,10,17,0,18,-1.0,0,27,6,11
40,9.078125,42,2.0,100,0.5,7,0,19,5,0.5,9,1,10,21,-1.0,10,14,6,1,0.5,6,7,0,5,-1.0,3,29,11,28,0.5,19,6,4,29,0.5,1,23,1,25,-1.0,7,13,1,19,0.5,19,25,10,27,0.5,19,4,5,1,0.5,6,16,18,14,0.5,6,24,19,9,0.5,6,6,6,2,-1.0,15,0,14,22,0.5,19,21,19,26,0.5,19,20,8,15
41,9.5625,42,3.5,100,-1.0,1,5,19,28,0.5,1,27,2,1,0.5,7,7,6,25,0.5,16,0,1,12,0.5,10,19,7,5,0.5,11,1,1,9,0.5,18,28,0,23,0.5,10,14,19,7,0.5,16,14,16,1,0.5,19,1,12,15,0.5,6,28,6,1,0.5,6,7,10,20,-1.0,1,10,19,18,0.5,0,13,12,14,0.5,3,1,17,0,-1.0,0,0,1,28
42,8.0,42,24.0,75,1.5,6,1,0,15,1.5,0,8,0,10,1.5,1,26,13,1,1.5,0,23,11,1,1.5,14,22,0,25,1.5,4,1,6,16,1.5,0,11,19,6,1.5,1,1,5,29,1.5,19,20,18,14,1.5,15,29,7,2,1.5,0,9,0,13,1.5,19,19,19,26,1.5,11,28,10,17,1.5,6,27,16,1,1.5,19,15,8,0,1.5,7,15,2,0
43,10.453125,42,-2.0,100,0.5,1,17,0,6,0.5,1,4,17,29,0.5,7,14,7,7,0.5,0,25,6,1,0.5,4,0,1,29,0.5,6,22,10,22,-1.0,1,7,19,10,-1.0,6,23,7,4,0.5,0,0,8,15,-1.0,5,0,6,21,-1.0,18,28,1,25,-0.5,19,24,6,4,-1.0,7,0,2,29,-1.0,1,22,15,29,0.5,6,18,10,0,0.5,7,10,6,26
44,10.296875,42,-5.5,100,-1.0,12,28,6,1,-1.0,7,8,0,7,0.5,10,24,10,16,0.5,7,3,13,15,-1.0,7,11,0,25,-1.0,13,22,10,28,-1.0,1,4,1,25,0.5,19,14,17,0,0.5,0,11,1,5,-1.0,1,22,0,4,-1.0,1,13,7,6,0.5,6,4,1,1,-1.0,18,28,0,10,-1.0,1,26,0,2,0.5,6,3,0,20,0.5,14,28,19,11
45,10.203125,42,3.5,100,0.5,10,21,1,26,0.5,9,0,0,18,0.5,4,0,16,22,0.5,1,7,17,0,0.5,7,2,14,15,0.5,19,6,1,4,0.5,19,28,9,15,0.5,18,14,19,26,0.5,10,27,6,10,0.5,18,1,10,1,-1.0,15,28,6,0,0.5,12,29,19,11,0.5,1,22,1,28,-1.0,3,1,19,9,0.5,0,1,10,24,-1.0,7,11,19,22
46,6.5625,42,24.0,66,1.5,10,23,1,7,1.5,17,14,17,15,1.5,0,4,1,2,1.5,0,6,1,3,1.5,18,28,19,4,1.5,14,15,10,21,1.5,6,15,15,28,1.5,6,0,14,22,1.5,0,17,0,28,1.5,1,19,14,1,1.5,6,7,1,24,1.5,4,1,11,29,1.5,0,25,13,14,1.5,11,1,5,0,1.5,6,22,13,22,1.5,8,0,18,0
47,10.109375,42,2.0,100,0.5,13,0,10,17,-1.0,2,0,10,28,0.5,6,16,1,0,0.5,0,3,14,0,-1.0,19,12,2,29,0.5,10,0,0,11,0.5,10,19,10,22,-1.0,19,28,1,7,0.5,0,0,1,11,0.5,1,9,0,20,0.5,10,18,7,0,-1.0,0,13,19,6,0.5,12,14,0,29,0.5,0,27,9,0,0.5,7,14,6,23,0.5,16,14,19,2
48,10.421875,42,-1.0,100,0.5,6,6,1,12,0.5,10,22,14,1,0.5,10,27,1,4,0.5,18,1,2,1,-1.0,1,22,10,15,0.5,19,1,15,1,-1.0,1,28,19,26,0.5,0,11,8,15,0.5,1,5,15,14,-1.0,19,24,8,14,0.5,17,29,13,29,0.5,12,0,10,0,-1.0,4,1,10,25,-1.0,0,4,12,22,0.5,1,13,15,0,-1.0,17,28,6,18
49,10.40625,42,4.0,100,0.5,19,12,12,28,-0.5,8,1,19,11,-1.0,6,18,19,2,-1.0,0,21,19,9,0.5,6,21,19,26,0.5,15,22,1,25,0.5,11,29,6,6,0.5,6,10,1,15,0.5,6,26,18,15,0.5,19,16,1,4,0.5,19,4,1,18,0.5,7,15,7,5,0.5,6,24,1,6,0.5,16,15,1,10,0.5,0,8,2,0,0.5,0,2,19,21
50,10.265625,42,5.0,100,0.5,11,15,13,14,0.5,11,28,1,16,-1.0,15,29,19,27,0.5,19,18,7,2,0.5,16,0,14,28,0.5,10,16,0,5,0.5,0,23,19,25,0.5,14,22,0,0,0.5,9,0,6,26,0.5,6,14,18,28,0.5,6,29,1,18,-1.0,19,2,18,29,0.5,14,14,19,8,0.5,0,20,0,22,0.5,8,0,7,13,0.5,6,22,16,15
51,10.296875,42,-3.5,100,0.5,16,28,19,15,-1.0,6,7,15,22,-1.0,10,23,0,5,0.5,10,19,1,7,0.5,10,16,6,4,-0.5,6,16,5,1,0.5,0,2,0,10,-1.0,6,1,6,11,0.5,10,25,1,0,-1.0,19,14,7,5,-1.0,6,21,12,28,0.5,13,29,7,13,0.5,6,14,10,17,-1.0,6,18,6,5,-1.0,10,29,1,15,0.5,19,4,0,15
52,7.203125,42,24.0,67,1.5,14,1,7,5,1.5,19,2,0,20,1.5,8,1,0,25,1.5,7,7,11,28,1.5,3,0,1,26,1.5,1,16,12,15,1.5,1,12,19,3,1.5,10,19,7,8,1.5,6,6,19,20,1.5,1,15,1,29,1.5,19,24,7,11,1.5,1,25,7,2,1.5,19,19,0,13,1.5,15,0,0,1,1.5,7,6,0,10,1.5,0,22,0,29
