episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y
65,0.046875,42,37.0,2.0,1.0,7.0,2.0,7.0,3.0,9.0,8.0,14,0,6,0,26.0,25.0,17,15,6,29,37.0,36.0,6,26,0,2,3.0,2.0,4,1,5,0,34.0,33.0,19,22,8,0,,,,,,
66,0.078125,42,45.0,19.0,18.0,19.0,11.0,19.0,29.0,45.0,44.0,14,22,0,10,42.0,41.0,15,29,19,2,32.0,31.0,9,14,12,28,8.0,7.0,0,25,3,29,31.0,30.0,6,17,17,28,,,,,,
67,0.03125,42,45.0,41.0,40.0,0.0,9.0,11.0,22.0,43.0,42.0,0,24,10,28,34.0,33.0,12,1,0,20,19.0,18.0,19,29,12,22,29.0,28.0,0,5,19,6,45.0,44.0,1,1,18,28,,,,,,
68,0.03125,42,48.0,48.0,47.0,0.0,6.0,15.0,28.0,47.0,46.0,1,26,16,29,11.0,10.0,1,25,1,15,12.0,11.0,7,1,0,3,28.0,27.0,1,2,19,9,29.0,28.0,18,14,4,0,,,,,,
69,60.09375,42,,,,,,,,,,11,29,17,1,,,19,9,10,24,,,0,8,19,25,,,0,1,16,22,,,1,5,19,21,,,0.0,11.0,1.0,24.0
70,0.046875,42,49.0,38.0,37.0,3.0,29.0,19.0,22.0,14.0,13.0,18,1,19,13,3.0,2.0,1,26,0,27,49.0,48.0,0,13,15,22,31.0,30.0,12,14,18,0,37.0,36.0,16,22,13,1,,,,,,
71,60.03125,42,,,,,,,,,,17,1,0,26,,,17,28,0,28,,,7,0,13,1,,,0,9,7,13,,,7,2,9,1,,,1.0,16.0,14.0,28.0
72,0.015625,42,31.0,28.0,27.0,9.0,15.0,17.0,0.0,27.0,26.0,11,0,14,15,8.0,7.0,0,19,0,12,31.0,30.0,18,1,1,14,11.0,10.0,7,0,0,3,26.0,25.0,1,5,2,29,,,,,,
73,0.015625,42,46.0,30.0,29.0,0.0,22.0,7.0,14.0,46.0,45.0,13,22,0,12,24.0,23.0,8,1,0,16,14.0,13.0,19,25,10,27,43.0,42.0,14,29,0,1,44.0,43.0,10,26,0,9,,,,,,
74,60.046875,42,,,,,,,,,,1,20,6,12,,,19,3,0,21,,,7,3,15,22,,,13,22,1,12,,,6,22,6,14,,,1.0,9.0,19.0,25.0
75,0.171875,42,37.0,37.0,36.0,10.0,21.0,19.0,0.0,20.0,19.0,7,3,10,17,17.0,16.0,9,14,7,0,19.0,18.0,16,0,1,3,3.0,2.0,1,28,1,26,25.0,24.0,11,1,19,17,,,,,,
76,60.03125,42,,,,,,,,,,9,1,11,22,,,5,0,6,29,,,6,23,19,16,,,10,18,1,6,,,13,14,1,3,,,1.0,28.0,7.0,3.0
77,60.03125,42,,,,,,,,,,7,14,0,27,,,13,0,19,23,,,6,20,1,0,,,19,10,19,18,,,7,6,3,0,,,0.0,29.0,0.0,21.0
78,0.34375,42,33.0,8.0,7.0,5.0,0.0,11.0,1.0,17.0,16.0,10,26,19,23,4.0,3.0,6,25,6,22,21.0,20.0,16,0,1,5,21.0,20.0,10,25,6,21,33.0,31.0,6,19,17,29,,,,,,
79,60.078125,42,,,,,,,,,,1,19,0,8,,,19,18,4,29,,,10,20,6,23,,,10,23,7,7,,,6,0,7,6,,,19.0,11.0,1.0,3.0
80,60.03125,42,,,,,,,,,,1,21,13,14,,,0,21,9,15,,,10,17,11,22,,,6,8,10,20,,,10,15,11,28,,,10.0,21.0,10.0,27.0
81,60.0625,42,,,,,,,,,,6,0,6,26,,,1,26,8,15,,,16,1,10,29,,,6,6,8,14,,,9,15,6,10,,,1.0,15.0,19.0,21.0
82,60.0625,42,,,,,,,,,,7,15,19,11,,,16,29,18,1,,,14,15,7,13,,,10,1,14,14,,,19,3,8,1,,,0.0,29.0,2.0,1.0
83,0.234375,42,58.0,21.0,20.0,16.0,22.0,7.0,11.0,19.0,18.0,1,26,0,9,33.0,32.0,6,0,0,26,21.0,20.0,8,0,0,12,58.0,57.0,17,28,0,16,29.0,28.0,6,15,18,29,,,,,,
84,60.015625,42,,,,,,,,,,17,29,6,4,,,17,14,7,9,,,0,12,1,9,,,0,17,14,14,,,3,1,5,29,,,10.0,15.0,0.0,15.0
85,0.078125,42,50.0,20.0,19.0,14.0,28.0,18.0,15.0,30.0,29.0,19,7,6,23,21.0,20.0,0,3,6,13,27.0,26.0,6,27,13,22,35.0,34.0,17,15,1,5,50.0,49.0,13,15,1,24,,,,,,
86,60.03125,42,,,,,,,,,,10,23,19,20,,,12,14,0,17,,,0,27,19,28,,,7,14,7,0,,,6,11,15,22,,,7.0,12.0,6.0,25.0
87,0.109375,42,29.0,15.0,14.0,5.0,29.0,6.0,16.0,25.0,24.0,15,22,19,12,19.0,18.0,12,29,11,14,10.0,9.0,1,2,6,4,29.0,28.0,13,15,0,2,27.0,26.0,15,0,12,15,,,,,,
88,0.5625,42,44.0,24.0,23.0,1.0,17.0,6.0,23.0,34.0,33.0,15,1,17,28,22.0,14.0,8,14,19,11,36.0,35.0,7,4,19,27,44.0,43.0,1,7,19,20,31.0,30.0,13,22,10,1,,,,,,
89,0.046875,42,40.0,33.0,32.0,1.0,15.0,7.0,13.0,40.0,39.0,17,29,7,0,39.0,38.0,16,22,18,0,30.0,29.0,19,27,6,17,31.0,30.0,11,28,6,3,18.0,17.0,1,2,0,18,,,,,,
90,0.015625,42,33.0,20.0,19.0,17.0,28.0,19.0,11.0,19.0,18.0,15,0,1,4,14.0,13.0,0,9,5,1,26.0,25.0,6,27,1,11,33.0,32.0,7,7,1,25,24.0,23.0,7,5,19,8,,,,,,
91,0.21875,42,56.0,19.0,18.0,19.0,16.0,7.0,10.0,56.0,55.0,0,10,19,28,30.0,29.0,11,0,10,20,37.0,36.0,1,23,14,0,13.0,12.0,1,14,0,3,24.0,23.0,4,0,0,19,,,,,,
92,60.03125,42,,,,,,,,,,2,1,10,1,,,1,25,11,22,,,17,29,6,21,,,18,0,12,14,,,18,14,16,14,,,11.0,14.0,15.0,14.0
93,60.015625,42,,,,,,,,,,10,26,19,2,,,0,13,6,5,,,14,1,19,14,,,6,11,18,0,,,14,28,6,3,,,9.0,1.0,7.0,8.0
94,60.046875,42,,,,,,,,,,8,15,6,26,,,15,22,19,9,,,12,29,5,0,,,18,14,10,20,,,6,12,0,27,,,7.0,13.0,18.0,1.0
95,0.125,42,52.0,18.0,17.0,6.0,15.0,8.0,0.0,34.0,33.0,6,5,0,24,33.0,32.0,10,19,0,5,9.0,8.0,7,12,6,19,52.0,51.0,18,1,19,29,16.0,15.0,8,15,19,11,,,,,,
96,0.0,42,35.0,24.0,23.0,11.0,0.0,1.0,13.0,18.0,17.0,6,17,1,29,7.0,6.0,1,10,0,5,35.0,34.0,0,1,10,25,24.0,23.0,6,5,19,13,10.0,9.0,6,0,13,0,,,,,,
97,0.0625,42,13.0,9.0,8.0,7.0,0.0,0.0,1.0,2.0,1.0,6,24,6,23,4.0,3.0,5,1,3,0,7.0,6.0,1,2,1,8,13.0,12.0,10,23,13,14,4.0,3.0,10,15,8,14,,,,,,
98,60.046875,42,,,,,,,,,,11,1,7,7,,,13,28,19,26,,,19,25,15,14,,,16,22,11,28,,,10,28,19,7,,,19.0,2.0,7.0,15.0
99,0.265625,42,45.0,36.0,35.0,14.0,0.0,18.0,29.0,17.0,16.0,3,29,0,16,45.0,44.0,19,21,0,26,18.0,17.0,10,28,7,14,23.0,22.0,16,0,14,14,36.0,35.0,7,3,16,29,,,,,,
100,0.078125,42,56.0,35.0,34.0,6.0,28.0,19.0,23.0,56.0,55.0,11,22,0,24,36.0,35.0,10,0,19,26,43.0,42.0,19,21,1,5,36.0,35.0,11,28,4,0,21.0,20.0,6,23,17,14,,,,,,
