episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y
47,38.296875,42,34.0,30.0,15.0,9.0,12.0,3.0,15.0,19.0,18.0,9,4,0,13,6.0,5.0,7,10,3,11,16.0,11.0,6,5,9,11,34.0,24.0,3,1,3,17,,,,,,
48,0.40625,42,18.0,18.0,17.0,0.0,13.0,4.0,0.0,3.0,2.0,6,11,5,10,14.0,13.0,9,15,2,9,11.0,10.0,9,4,2,1,8.0,7.0,2,19,9,19,,,,,,
49,0.609375,42,24.0,6.0,5.0,7.0,9.0,9.0,6.0,16.0,15.0,9,1,0,7,24.0,14.0,8,18,4,10,15.0,14.0,9,15,6,4,7.0,6.0,0,12,3,9,,,,,,
50,0.84375,42,33.0,33.0,28.0,0.0,16.0,9.0,11.0,10.0,9.0,1,9,9,10,17.0,16.0,8,19,6,5,19.0,18.0,3,4,0,19,19.0,18.0,3,3,0,18,,,,,,
51,0.734375,42,20.0,20.0,19.0,3.0,1.0,5.0,18.0,18.0,8.0,6,2,0,2,8.0,7.0,0,17,6,18,11.0,10.0,4,0,0,6,6.0,5.0,0,13,1,9,,,,,,
52,0.765625,42,20.0,6.0,5.0,1.0,0.0,5.0,1.0,18.0,17.0,9,0,6,14,13.0,12.0,0,6,8,10,5.0,4.0,3,17,3,13,20.0,13.0,6,4,3,4,,,,,,
53,42.640625,42,37.0,17.0,16.0,9.0,18.0,9.0,2.0,24.0,22.0,5,0,5,18,37.0,19.0,7,1,0,5,27.0,21.0,9,5,4,19,8.0,7.0,8,1,1,1,,,,,,
54,3.359375,42,34.0,26.0,10.0,9.0,7.0,6.0,2.0,34.0,28.0,2,1,9,14,23.0,17.0,2,0,3,16,24.0,22.0,2,9,3,0,12.0,11.0,6,10,0,5,,,,,,
55,1.171875,42,24.0,20.0,11.0,0.0,0.0,0.0,11.0,5.0,4.0,3,11,0,10,12.0,11.0,9,11,9,0,9.0,8.0,5,9,0,12,24.0,20.0,9,7,0,6,,,,,,
56,1.84375,42,23.0,11.0,10.0,3.0,14.0,8.0,9.0,4.0,3.0,9,11,9,8,19.0,18.0,6,15,2,1,23.0,17.0,0,11,9,17,11.0,10.0,9,1,3,5,,,,,,
