episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
82,61.8125,42,,,,0,18,8,1,,,3,8,6,3,,,9,5,8,0,,,0,0,6,9,,,3,0,3,18,,,0,7,9,3,,,6,1,4,10,,,2.0,10.0,9.0,14.0,,,,,,
83,61.78125,42,,,,9,19,8,1,,,6,4,4,9,,,6,14,1,1,,,2,10,0,19,,,8,18,6,1,,,6,13,3,5,,,9,8,0,11,,,2.0,18.0,3.0,17.0,,,,,,
84,60.421875,42,,,,6,11,0,4,,,3,4,9,15,,,9,14,7,1,,,8,0,0,11,,,5,1,3,2,,,9,12,0,5,,,3,18,2,9,,,0.0,16.0,6.0,2.0,,,,,,
85,62.203125,42,,,,0,7,9,2,,,9,18,0,12,,,4,0,6,9,,,2,18,3,12,,,5,1,8,0,,,8,1,9,8,,,3,4,6,16,,,0.0,5.0,1.0,18.0,,,,,,
86,60.953125,42,,,,9,17,3,1,,,3,3,0,13,,,4,18,9,4,,,3,13,0,18,,,2,0,0,12,,,3,16,5,0,,,0,17,2,19,,,0.0,0.0,0.0,3.0,,,,,,
87,60.96875,42,,,,3,6,2,18,,,3,15,2,0,,,3,18,3,5,,,5,19,6,5,,,8,0,2,9,,,4,9,9,10,,,9,1,4,10,,,5.0,10.0,9.0,4.0,,,,,,
88,62.453125,42,,,,6,15,4,19,,,3,6,4,1,,,2,0,9,4,,,7,9,6,18,,,2,9,1,9,,,9,11,0,17,,,4,10,6,6,,,0.0,5.0,3.0,5.0,,,,,,
89,62.109375,42,,,,0,16,0,3,,,0,2,0,17,,,9,10,0,12,,,0,10,6,17,,,0,1,6,7,,,9,12,4,10,,,1,1,2,9,,,8.0,18.0,6.0,2.0,,,,,,
90,62.3125,42,,,,2,0,6,7,,,6,4,4,1,,,6,15,0,18,,,9,2,9,8,,,4,19,7,19,,,0,0,9,19,,,3,0,9,3,,,5.0,10.0,3.0,1.0,,,,,,
91,62.21875,42,,,,2,10,9,18,,,2,9,0,9,,,9,10,3,9,,,6,0,7,1,,,4,0,8,18,,,9,16,0,17,,,6,5,3,4,,,9.0,9.0,5.0,19.0,,,,,,
92,61.265625,42,,,,8,9,3,4,,,0,13,8,19,,,6,5,0,9,,,3,2,9,3,,,1,19,0,3,,,5,1,7,1,,,3,16,3,8,,,6.0,9.0,3.0,12.0,,,,,,
93,60.46875,42,,,,0,2,7,1,,,6,17,8,19,,,0,19,3,4,,,6,12,0,14,,,7,0,9,7,,,9,2,0,17,,,6,18,6,4,,,3.0,2.0,2.0,1.0,,,,,,
94,61.9375,42,,,,0,14,5,0,,,8,0,9,19,,,0,16,2,18,,,6,13,0,0,,,6,16,9,11,,,0,6,0,1,,,1,0,6,0,,,8.0,9.0,6.0,3.0,,,,,,
95,60.75,42,,,,6,3,5,18,,,3,13,0,19,,,0,14,6,8,,,6,2,1,1,,,9,8,2,19,,,0,10,6,19,,,9,6,0,5,,,3.0,16.0,3.0,19.0,,,,,,
96,61.828125,42,,,,6,4,0,2,,,0,15,0,6,,,3,2,6,5,,,3,7,0,18,,,6,12,2,0,,,9,17,9,2,,,9,1,9,5,,,1.0,9.0,2.0,10.0,,,,,,
97,63.390625,42,,,,6,7,5,10,,,6,6,7,0,,,1,1,7,18,,,6,0,6,1,,,5,9,2,19,,,3,13,6,19,,,7,10,9,18,,,6.0,14.0,0.0,17.0,,,,,,
98,60.65625,42,,,,3,16,5,9,,,9,11,3,17,,,5,1,3,15,,,9,13,9,12,,,0,1,0,10,,,0,4,7,19,,,8,9,9,7,,,3.0,9.0,6.0,12.0,,,,,,
99,62.328125,42,,,,3,13,1,0,,,0,18,1,10,,,6,15,9,10,,,4,9,9,3,,,0,17,9,18,,,3,9,9,9,,,9,15,2,9,,,2.0,18.0,1.0,18.0,,,,,,
100,61.9375,42,,,,3,7,5,1,,,4,9,0,10,,,9,6,7,9,,,7,1,6,11,,,6,10,7,0,,,9,5,5,10,,,3,11,8,0,,,3.0,15.0,9.0,14.0,,,,,,
