episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
42,0.234375,42,26.0,15.0,14.0,3,0,6,11,11.0,10.0,8,0,6,8,21.0,20.0,9,1,0,10,16.0,15.0,0,5,6,14,14.0,13.0,0,12,9,8,13.0,12.0,6,13,9,4,26.0,25.0,9,19,0,3,10.0,9.0,0,2,2,9,,,,,,,13.0,12.0,6.0,15.0,0.0,15.0
43,60.015625,42,,,,2,1,3,1,,,4,0,6,12,,,0,16,0,4,,,9,3,0,0,,,8,0,0,18,,,8,10,0,5,,,1,9,8,19,,,0,1,6,6,,,9.0,9.0,9.0,17.0,,,,,,
44,60.0625,42,,,,8,9,9,11,,,9,15,0,13,,,2,1,7,19,,,3,1,6,16,,,9,2,8,19,,,2,9,9,1,,,0,6,3,19,,,6,13,0,4,,,9.0,16.0,4.0,0.0,,,,,,
45,60.046875,42,,,,1,10,0,9,,,0,13,9,2,,,0,14,4,0,,,6,16,0,18,,,5,0,8,18,,,5,18,7,1,,,7,9,0,6,,,5,19,1,9,,,6.0,9.0,0.0,1.0,,,,,,
46,0.09375,42,25.0,11.0,10.0,0,11,6,7,25.0,24.0,6,18,0,0,11.0,10.0,5,9,0,4,11.0,10.0,9,17,1,19,6.0,5.0,7,9,9,6,8.0,7.0,6,6,4,1,17.0,16.0,5,1,3,15,8.0,7.0,0,6,1,0,,,,,,,14.0,13.0,2.0,19.0,0.0,8.0
47,60.046875,42,,,,3,11,2,10,,,0,10,6,9,,,7,19,9,5,,,1,1,6,2,,,9,17,3,19,,,6,4,0,16,,,4,1,2,9,,,5,18,9,13,,,8.0,0.0,3.0,2.0,,,,,,
48,60.015625,42,,,,3,16,0,17,,,6,3,4,1,,,5,18,5,0,,,6,17,6,16,,,2,10,3,14,,,6,11,9,9,,,3,19,4,10,,,9,13,0,15,,,0.0,18.0,0.0,13.0,,,,,,
49,60.03125,42,,,,9,16,6,6,,,0,15,3,14,,,9,13,6,9,,,3,0,3,15,,,0,10,0,17,,,3,3,9,1,,,6,7,1,19,,,3,17,9,14,,,8.0,1.0,6.0,4.0,,,,,,
50,60.078125,42,,,,6,5,2,0,,,3,4,0,11,,,9,10,6,2,,,0,4,3,8,,,3,2,6,1,,,3,16,6,4,,,4,10,6,17,,,4,9,5,19,,,0.0,17.0,6.0,11.0,,,,,,
51,60.0625,42,,,,6,4,3,18,,,6,11,5,10,,,6,7,6,8,,,3,4,3,9,,,2,9,9,15,,,8,1,5,1,,,3,7,8,10,,,5,19,7,1,,,1.0,9.0,6.0,0.0,,,,,,
